Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,357.94,-3.94,47.19,357.94,-3.94,47.19,0.92,-0.4,0.03,0.02,0.0,6.31,45.44,-78.69,6.31,45.44,-78.69,0.75,0.43,-0.5,-0.04
0.0,358.31,-4.44,45.81,358.31,-4.44,45.81,0.92,-0.39,0.04,0.01,0.0,6.25,45.63,-79.37,6.25,45.63,-79.37,0.75,0.43,-0.5,-0.04
0.0,358.88,-4.94,45.0,358.88,-4.94,45.0,0.92,-0.38,0.05,0.01,0.0,6.63,45.63,-79.06,6.63,45.63,-79.06,0.75,0.43,-0.5,-0.04
0.0,0.19,-5.88,44.13,0.19,-5.88,44.13,0.93,-0.37,0.06,-0.01,0.0,6.94,45.63,-78.56,6.94,45.63,-78.56,0.75,0.42,-0.5,-0.05
0.0,1.5,-6.69,44.0,1.5,-6.69,44.0,0.93,-0.37,0.07,-0.02,0.0,7.25,45.56,-77.87,7.25,45.56,-77.87,0.76,0.42,-0.5,-0.05
0.0,2.56,-6.81,44.13,2.56,-6.81,44.13,0.92,-0.37,0.07,-0.02,0.0,6.56,45.88,-77.87,6.56,45.88,-77.87,0.75,0.42,-0.5,-0.04
0.0,2.88,-6.56,44.25,2.88,-6.56,44.25,0.92,-0.37,0.07,-0.02,0.0,5.31,46.63,-79.12,5.31,46.63,-79.12,0.75,0.43,-0.51,-0.03
0.0,2.94,-5.75,44.13,2.94,-5.75,44.13,0.93,-0.37,0.06,-0.02,0.0,4.13,47.69,-80.19,4.13,47.69,-80.19,0.74,0.42,-0.51,-0.02
0.0,2.38,-4.94,43.75,2.38,-4.94,43.75,0.93,-0.37,0.05,-0.02,0.0,2.81,49.25,-81.75,2.81,49.25,-81.75,0.73,0.42,-0.53,-0.02
0.0,2.25,-4.0,42.56,2.25,-4.0,42.56,0.93,-0.36,0.04,-0.02,0.0,2.94,50.13,-85.0,2.94,50.13,-85.0,0.73,0.43,-0.54,-0.02
0.0,3.06,-3.44,41.19,3.06,-3.44,41.19,0.94,-0.35,0.04,-0.03,0.0,3.13,50.75,-86.37,3.13,50.75,-86.37,0.72,0.42,-0.55,-0.02
