Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,0.0,50.13,5.69,0.0,50.13,5.69,0.9,-0.04,-0.42,0.0,0.0,358.63,-80.94,-122.69,358.63,-80.94,-122.69,0.68,0.09,0.73,0.01
0.0,359.94,50.19,5.69,359.94,50.19,5.69,0.9,-0.04,-0.42,0.0,0.0,358.63,-80.94,-122.62,358.63,-80.94,-122.62,0.68,0.09,0.73,0.01
0.0,359.94,50.25,5.69,359.94,50.25,5.69,0.9,-0.04,-0.43,0.0,0.0,358.63,-81.0,-122.56,358.63,-81.0,-122.56,0.68,0.09,0.73,0.01
0.0,359.94,50.25,5.69,359.94,50.25,5.69,0.9,-0.04,-0.43,0.0,0.0,358.63,-81.0,-122.56,358.63,-81.0,-122.56,0.68,0.09,0.73,0.01
0.0,359.94,50.25,5.69,359.94,50.25,5.69,0.9,-0.04,-0.43,0.0,0.0,358.63,-81.0,-122.56,358.63,-81.0,-122.56,0.68,0.09,0.73,0.01
0.0,359.94,50.31,5.69,359.94,50.31,5.69,0.9,-0.04,-0.43,0.0,0.0,358.63,-81.0,-122.62,358.63,-81.0,-122.62,0.68,0.09,0.73,0.01
0.0,359.94,50.31,5.69,359.94,50.31,5.69,0.9,-0.04,-0.43,0.0,0.0,358.63,-81.0,-122.81,358.63,-81.0,-122.81,0.68,0.09,0.73,0.01
0.0,359.94,50.25,5.69,359.94,50.25,5.69,0.9,-0.04,-0.43,0.0,0.0,358.56,-80.94,-123.0,358.56,-80.94,-123.0,0.68,0.09,0.73,0.01
0.0,0.0,50.19,5.69,0.0,50.19,5.69,0.9,-0.04,-0.42,0.0,0.0,358.5,-80.94,-123.0,358.5,-80.94,-123.0,0.68,0.09,0.73,0.01
0.0,0.0,50.19,5.69,0.0,50.19,5.69,0.9,-0.04,-0.42,-0.0,0.0,358.5,-80.94,-123.0,358.5,-80.94,-123.0,0.68,0.09,0.73,0.01
0.0,0.0,50.25,5.75,0.0,50.25,5.75,0.9,-0.04,-0.43,-0.0,0.0,358.5,-80.94,-123.12,358.5,-80.94,-123.12,0.68,0.09,0.73,0.01
0.0,0.0,50.31,5.81,0.0,50.31,5.81,0.9,-0.04,-0.43,-0.0,0.0,358.44,-80.87,-123.25,358.44,-80.87,-123.25,0.68,0.09,0.73,0.01
0.0,0.0,50.38,5.88,0.0,50.38,5.88,0.9,-0.04,-0.43,-0.0,0.0,358.44,-80.81,-123.5,358.44,-80.81,-123.5,0.68,0.09,0.73,0.01
0.0,0.0,50.44,5.94,0.0,50.44,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.38,-80.75,-123.62,358.38,-80.75,-123.62,0.67,0.09,0.73,0.01
0.0,0.0,50.44,5.94,0.0,50.44,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.44,-80.75,-123.75,358.44,-80.75,-123.75,0.67,0.09,0.73,0.01
0.0,0.06,50.44,6.0,0.06,50.44,6.0,0.9,-0.04,-0.43,-0.0,0.0,358.44,-80.69,-123.87,358.44,-80.69,-123.87,0.67,0.09,0.73,0.01
0.0,0.06,50.38,5.94,0.06,50.38,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.38,-80.69,-124.0,358.38,-80.69,-124.0,0.67,0.09,0.73,0.01
0.0,0.0,50.38,5.94,0.0,50.38,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.31,-80.62,-124.12,358.31,-80.62,-124.12,0.67,0.09,0.73,0.01
0.0,0.0,50.31,5.94,0.0,50.31,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.25,-80.56,-124.31,358.25,-80.56,-124.31,0.67,0.09,0.73,0.01
0.0,0.0,50.31,5.94,0.0,50.31,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.19,-80.5,-124.44,358.19,-80.5,-124.44,0.67,0.09,0.73,0.01
0.0,0.06,50.31,5.94,0.06,50.31,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.19,-80.56,-124.37,358.19,-80.56,-124.37,0.67,0.09,0.73,0.01
0.0,0.06,50.31,5.94,0.06,50.31,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.25,-80.62,-124.19,358.25,-80.62,-124.19,0.67,0.09,0.73,0.01
0.0,0.06,50.31,5.94,0.06,50.31,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.31,-80.69,-124.06,358.31,-80.69,-124.06,0.67,0.09,0.73,0.01
0.0,0.06,50.31,6.0,0.06,50.31,6.0,0.9,-0.04,-0.43,-0.0,0.0,358.31,-80.75,-123.94,358.31,-80.75,-123.94,0.67,0.09,0.73,0.01
0.0,0.06,50.31,6.0,0.06,50.31,6.0,0.9,-0.04,-0.43,-0.0,0.0,358.31,-80.75,-123.81,358.31,-80.75,-123.81,0.67,0.09,0.73,0.01
0.0,0.06,50.31,6.0,0.06,50.31,6.0,0.9,-0.04,-0.43,-0.0,0.0,358.31,-80.81,-123.62,358.31,-80.81,-123.62,0.68,0.09,0.73,0.01
0.0,0.06,50.38,6.06,0.06,50.38,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.38,-80.87,-123.44,358.38,-80.87,-123.44,0.68,0.09,0.73,0.01
0.0,0.06,50.38,6.06,0.06,50.38,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.44,-80.94,-123.25,358.44,-80.94,-123.25,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.06,0.06,50.44,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.44,-81.0,-123.12,358.44,-81.0,-123.12,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.13,0.06,50.44,6.13,0.9,-0.04,-0.43,-0.0,0.0,358.44,-81.0,-123.06,358.44,-81.0,-123.06,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.13,0.06,50.44,6.13,0.9,-0.04,-0.43,-0.0,0.0,358.44,-81.0,-123.06,358.44,-81.0,-123.06,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.13,0.06,50.44,6.13,0.9,-0.04,-0.43,-0.0,0.0,358.5,-81.06,-122.87,358.5,-81.06,-122.87,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.06,0.06,50.44,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.5,-81.12,-122.81,358.5,-81.12,-122.81,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.06,0.06,50.44,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.44,-81.06,-122.94,358.44,-81.06,-122.94,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.06,0.06,50.44,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.38,-81.06,-123.06,358.38,-81.06,-123.06,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.06,0.06,50.44,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.31,-81.06,-123.06,358.31,-81.06,-123.06,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.06,0.06,50.44,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.31,-81.06,-123.12,358.31,-81.06,-123.12,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.06,0.06,50.44,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.38,-81.06,-123.0,358.38,-81.06,-123.0,0.68,0.09,0.73,0.01
0.0,0.06,50.5,6.06,0.06,50.5,6.06,0.9,-0.04,-0.43,-0.0,0.0,358.44,-81.12,-122.81,358.44,-81.12,-122.81,0.68,0.09,0.73,0.01
0.0,0.06,50.5,6.0,0.06,50.5,6.0,0.9,-0.04,-0.43,-0.0,0.0,358.44,-81.12,-122.87,358.44,-81.12,-122.87,0.68,0.09,0.73,0.01
0.0,0.06,50.5,6.0,0.06,50.5,6.0,0.9,-0.04,-0.43,-0.0,0.0,358.38,-81.06,-123.12,358.38,-81.06,-123.12,0.68,0.09,0.73,0.01
0.0,0.0,50.44,5.94,0.0,50.44,5.94,0.9,-0.04,-0.43,-0.0,0.0,358.38,-81.0,-123.31,358.38,-81.0,-123.31,0.68,0.09,0.73,0.01
0.0,0.06,50.44,6.0,0.06,50.44,6.0,0.9,-0.04,-0.43,-0.0,0.0,358.31,-80.94,-123.5,358.31,-80.94,-123.5,0.68,0.09,0.73,0.01
